param1,param2
1.40639,0.51486
1.49142,0.61736
1.09634,0.64344
1.39929,0.64798
1.33719,0.50085
1.33354,0.55793
1.27226,0.61777
1.33238,0.65108
1.29314,0.52476
1.35887,0.59116
1.39907,0.49193
1.3969,0.51097
1.31795,0.59075
1.4316,0.4975
1.32169,0.58185
1.35156,0.53761
1.27262,0.52005
1.31398,0.48215
1.30786,0.50766
1.34324,0.65903
1.25439,0.6756
1.38601,0.50264
1.50487,0.42678
1.42285,0.46995
1.23528,0.53446
1.23447,0.5576
1.42303,0.48171
1.26553,0.57643
1.35771,0.44321
1.3629,0.51661
1.55903,0.81412
1.04489,0.49418
1.52415,0.57748
1.44066,0.55207
1.25566,0.61323
1.40848,0.57303
1.32409,0.53692
1.3521,0.46742
1.38835,0.46849
1.34639,0.51818
1.35812,0.56773
1.36822,0.49777
1.25225,0.64508
1.22509,0.61324
1.24104,0.62362
1.39241,0.59673
1.32446,0.47789
1.31607,0.52038
1.38536,0.50676
1.27125,0.49362
1.50271,0.5991
1.42495,0.4582
1.34416,0.57156
1.50317,0.49945
1.23718,0.60352
1.3917,0.54008
1.32667,0.53858
1.50089,0.55677
1.28475,0.57242
1.34033,0.50854
1.39712,0.5922
1.43554,0.54972
1.28468,0.55758
1.4918,0.55739
1.48887,0.65398
1.22,0.52503
1.41563,0.58333
1.34363,0.50898
1.27682,0.52463
1.37311,0.66946
1.46609,0.53256
1.35731,0.51055
1.24772,0.56518
1.51165,0.57015
1.38394,0.71671
1.30182,0.44862
1.3314,0.59172
1.40849,0.48319
1.35094,0.53471
1.43507,0.67278
1.36047,0.51199
1.42437,0.73811
1.38734,0.75062
1.19686,0.44045
1.6859,0.5482
1.31104,0.80744
1.31994,0.43282
1.42479,0.67127
1.36248,0.46576
1.41383,0.61054
1.24512,0.54497
1.52017,0.523
1.25847,0.56166
1.38314,0.70673
1.19254,0.56602
1.45526,0.57939
1.57479,0.62745
1.29111,0.45072
1.263,0.43302
1.26497,0.56113
1.42062,0.46904
1.32644,0.59671
1.37917,0.56565
1.42644,0.46226
1.22895,0.64933
1.36214,0.4152
1.26228,0.69054
1.55437,0.52223
1.51569,0.49132
1.36065,0.46686
1.33308,0.62794
1.30408,0.5236
1.41439,0.50571
1.24459,0.55984
1.34428,0.70969
1.39934,0.51442
1.32016,0.50879
1.34827,0.59769
1.39963,0.51234
1.42648,0.57528
1.40605,0.51805
1.39085,0.4691
1.41672,0.5984
1.39773,0.52977
1.33834,0.55207
1.35103,0.65933
1.47546,0.55039
1.45774,0.81964
1.39568,0.42907
1.39563,0.69387
1.34917,0.52614
1.534,0.4982
1.48198,0.53791
1.30241,0.78859
1.4656,0.61214
1.38695,0.44359
1.42238,0.42186
1.3881,0.60488
1.43652,0.46975
1.3368,0.5243
1.25223,0.63355
1.29863,0.53666
1.37748,0.61382
1.38719,0.61035
1.17335,0.69309
1.26911,0.69098
1.4729,0.63832
1.32859,0.43746
1.2339,0.47561
1.47763,0.60336
1.33906,0.60455
1.44456,0.46075
1.25445,0.54824
1.2657,0.70038
1.30324,0.5029
1.41708,0.50145
1.44103,0.76019
1.41871,0.77433
1.18655,0.56716
1.3128,0.6999
1.58923,0.5892
1.24282,0.50476
1.51032,0.48213
1.28603,0.50753
1.14001,0.68073
1.36464,0.47855
1.59695,0.43297
1.16539,0.76209
1.43821,0.43976
1.13625,0.6052
1.30376,0.54558
1.46771,0.44261
1.4686,0.50812
1.4595,0.6383
1.43683,0.58064
1.11167,0.5739
1.38255,0.48227
1.4688,0.48366
1.48883,0.57162
1.38955,0.46584
1.47366,0.52796
1.37173,0.49564
1.37746,0.46333
1.44301,0.69029
1.19583,0.56189
1.54236,0.52956
1.40105,0.61516
1.2584,0.58222
1.28301,0.75568
1.5628,0.5625
1.32009,0.62531
1.57583,0.58331
1.21035,0.51899
1.34455,0.46137
1.32002,0.41335
1.34466,0.50143
1.13005,0.72691
1.17815,0.63431
1.5254,0.50559
1.36167,0.65114
1.39606,0.73993
1.6012,0.71072
1.04263,0.57613
1.4715,0.46608
1.46655,0.40249
1.35854,0.64813
1.19563,0.57011
1.24729,0.74158
1.56557,0.57819
1.3821,0.41427
1.37086,0.71314
1.42318,0.51605
1.28842,0.63453
1.39072,0.64734
1.45938,0.50783
1.48162,0.49718
1.28821,0.45015
1.42141,0.65047
1.3032,0.44456
1.4539,0.64624
1.32749,0.48813
1.52012,0.488
1.28376,0.53883
1.47895,0.5221
1.62449,0.56469
1.29582,0.79878
1.19539,0.64387
1.64798,0.42342
1.4059,0.62422
1.50589,0.46438
1.20967,0.62433
1.321,0.61959
1.37199,0.66269
1.35107,0.67564
1.34232,0.68199
1.21047,0.55928
1.41123,0.618
1.12528,0.53804
1.58244,0.58862
1.19852,0.53086
1.15642,0.53726
1.56438,0.49304
1.41467,0.63073
1.23171,0.48598
1.6183,0.50714
1.45091,0.69713
1.55321,0.56322
1.35053,0.53099
1.38944,0.62797
1.24082,0.6116
1.50108,0.54707
1.3309,0.461
1.2667,0.59329
1.4514,0.55832
1.28977,0.57338
1.37201,0.60368
1.2452,0.4938
1.25375,0.50298
1.39623,0.63018
1.37567,0.45299
1.36598,0.49775
1.53688,0.59737
1.46869,0.51899
1.30678,0.54335
1.44065,0.54161
1.47926,0.54243
1.31213,0.56469
1.38517,0.60634
1.31934,0.49744
1.32025,0.5367
1.47324,0.5148
1.29905,0.62413
1.47707,0.52134
1.50145,0.49252
1.18961,0.57647
1.46113,0.61022
1.57437,0.65518
1.21472,0.50902
1.35603,0.57477
1.2075,0.59016
1.37535,0.51027
1.41076,0.57946
1.45701,0.5462
1.48736,0.6055
1.25168,0.46003
1.55877,0.48663
1.37038,0.60087
1.52049,0.46279
1.32895,0.5894
1.51801,0.50382
1.28496,0.65701
1.32571,0.58074
1.34174,0.52623
1.35286,0.45661
1.47743,0.50078
1.3575,0.47307
1.37853,0.47355
1.33363,0.59591
1.28708,0.52378
1.47306,0.46997
1.26004,0.64177
1.40011,0.46121
1.14403,0.54326
1.34559,0.7969
1.34564,0.75266
1.13905,0.57876
1.30523,0.56638
1.66037,0.56468
1.6648,0.55502
1.29612,0.46887
1.42339,0.6033
1.36083,0.57293
1.53996,0.45613
1.47161,0.45704
1.31087,0.62972
1.43191,0.53696
1.28499,0.54626
1.38471,0.62949
1.19371,0.54297
1.51006,0.46315
1.26818,0.63418
1.32751,0.50195
1.27093,0.54782
1.39285,0.64137
1.35907,0.534
1.42299,0.50641
1.25287,0.48358
1.41964,0.47704
1.36643,0.62683
1.33764,0.51626
1.37848,0.52469
1.29442,0.55158
1.23291,0.47347
1.6057,0.62298
1.22914,0.53056
1.35411,0.48097
1.29719,0.60505
1.36037,0.54188
1.34948,0.54788
1.07184,0.56097
1.61753,0.64806
1.5241,0.55088
1.58621,0.53101
1.55104,0.56728
1.44688,0.64653
1.40593,0.52033
1.55431,0.476
1.38821,0.48683
1.45937,0.71837
1.39503,0.6647
1.34848,0.83051
1.14864,0.50674
1.68826,0.66954
1.28838,0.53809
1.37043,0.4537
1.4534,0.58558
1.40431,0.5467
1.41574,0.566
1.38887,0.45287
1.4098,0.61197
1.18893,0.52739
1.30414,0.53252
1.34274,0.42508
1.27662,0.60929
1.42178,0.49191
1.46435,0.58218
1.49051,0.56301
1.24553,0.45987
1.42245,0.71558
1.21909,0.48492
1.25295,0.47381
1.58092,0.68799
1.17852,0.51615
1.32892,0.67454
1.38085,0.37376
1.07995,0.68553
1.37437,0.48197
1.48405,0.51227
1.41108,0.53776
1.27091,0.54569
1.20932,0.66618
1.38532,0.45021
1.32107,0.61909
1.23482,0.56467
1.4287,0.51681
1.55266,0.57488
1.32992,0.39288
1.56467,0.54534
1.59435,0.53522
1.30623,0.4153
1.54264,0.5475
1.43844,0.57418
1.4662,0.55924
1.45585,0.57615
1.3388,0.52679
1.25877,0.4406
1.44586,0.58917
1.38819,0.53091
1.44869,0.57539
1.38715,0.59433
1.42461,0.55632
1.34999,0.46684
1.30944,0.57276
1.44833,0.80863
1.22557,0.47777
1.50174,0.52574
1.43114,0.63928
1.44201,0.409
1.26486,0.74639
1.51822,0.44923
1.31576,0.54309
1.36318,0.44723
1.3691,0.49704
1.45769,0.70825
1.44499,0.52723
1.4678,0.55558
1.12454,0.58976
1.55579,0.49481
1.30463,0.65918
1.21534,0.63252
1.54351,0.54956
1.25924,0.68899
1.30174,0.88968
1.34159,0.55637
1.34971,0.51665
1.27657,0.47011
1.55042,0.56091
1.19032,0.55474
1.48423,0.87063
1.46065,0.63243
1.41553,0.5264
1.37974,0.56309
1.33176,0.54977
1.356,0.70208
1.24674,0.52119
1.34446,0.44861
1.48974,0.55275
1.22518,0.55719
1.23105,0.55609
1.42175,0.58563
1.34315,0.58948
1.34112,0.52533
1.35413,0.47774
1.55113,0.46336
1.38726,0.55059
1.27496,0.7255
1.43485,0.60962
1.62316,0.722
1.03438,0.56512
1.54435,0.69519
1.31018,0.40528
1.50923,0.59225
1.4952,0.5891
1.41595,0.46815
1.31294,0.51566
1.35428,0.55746
1.3617,0.63608
1.5565,0.63248
1.55157,0.57462
1.36637,0.40747
1.48956,0.48908
1.64557,0.65792
1.74512,0.71842
1.38464,0.73519
1.36584,0.58962
1.39154,0.4778
1.51186,0.50155
1.35268,0.46696
1.42777,0.62774
1.34588,0.51721
1.19167,0.60674
1.44384,0.56993
1.24753,0.61535
1.31092,0.60121
1.16624,0.77267
1.37874,0.50236
1.39536,0.53504
1.47257,0.55621
1.3077,0.71243
1.05086,0.6837
0.96563,0.78999
1.31936,0.81894
1.29672,0.71593
1.14535,0.97135
1.46896,0.68762
1.34281,0.54092
1.37745,0.53091
1.39467,0.5326
1.39614,0.58916
1.55382,0.63345
1.4244,0.63114
1.61786,0.43428
1.26704,0.49625
1.60353,0.5144
1.62368,0.69475
1.53997,0.71048
1.56803,0.68129
1.40477,0.48364
1.51111,0.49801
1.26532,0.74664
1.34815,0.6312
1.52878,0.50846
1.45597,0.63009
1.34152,0.4159
1.15226,0.48971
1.47594,0.58248
1.28827,0.51108
1.23127,0.50685
1.40918,0.57813
1.36807,0.50989
1.58212,0.56792
1.26691,0.74369
1.41134,0.51791
1.2954,0.60564
1.32979,0.5022
1.38787,0.59741
1.38614,0.54932
1.31408,0.54279
1.36937,0.6496
1.28903,0.71728
1.53613,0.57644
1.44735,0.49199
1.33034,0.5095
1.40081,0.53603
1.50484,0.49314
1.26077,0.58777
1.33206,0.49644
1.41603,0.48825
1.30618,0.57892
1.321,0.54682
1.31071,0.55907
1.43132,0.49318
1.38472,0.61971
1.41354,0.44496
1.31818,0.54794
1.48336,0.60714
1.49479,0.48636
1.45848,0.49646
1.21945,0.66091
1.27906,0.61213
1.3392,0.56046
1.42246,0.49978
1.40995,0.55418
1.3964,0.51196
1.4456,0.66483
1.58836,0.56421
1.25316,0.60131
1.39374,0.54256
1.41612,0.54891
1.35154,0.58208
1.37152,0.57572
1.44661,0.55554
1.17188,0.52724
1.401,0.58648
1.1651,0.66702
1.4397,0.50227
1.40905,0.57535
1.53349,0.50384
1.29739,0.47619
1.39976,0.64017
1.45556,0.53582
1.42616,0.54238
1.35278,0.49608
1.45184,0.47694
1.31312,0.6324
1.40497,0.49502
1.30284,0.56699
1.31411,0.55538
1.21155,0.69514
1.43951,0.73814
1.49593,0.57123
1.28302,0.47188
1.4776,0.5642
1.29692,0.73094
1.50772,0.62362
1.51413,0.43531
1.37341,0.61873
1.48773,0.4871
1.26057,0.48151
1.52682,0.5003
1.39104,0.50812
1.37765,0.72611
1.34589,0.59548
1.34426,0.51245
1.33958,0.50548
1.30655,0.57549
1.24019,0.56837
1.47788,0.47411
1.27654,0.53773
1.33964,0.51924
1.47748,0.6107
1.17201,0.61945
1.43793,0.46633
1.45676,0.52326
1.18609,0.67963
1.51252,0.48569
1.38456,0.62021
1.42674,0.55277
1.38166,0.49773
1.28169,0.70506
1.2812,0.71168
1.49051,0.50212
1.5558,0.44958
1.21602,0.63274
1.41634,0.5571
1.55467,0.58542
1.62506,0.67159
1.51371,0.55008
1.27741,0.67288
1.33971,0.54349
1.48831,0.58916
1.23548,0.50882
1.51464,0.55296
1.45398,0.59651
1.55344,0.55701
1.42073,0.48233
1.43754,0.63453
1.17928,0.60744
1.67705,0.48733
1.46159,0.56641
1.54172,0.68543
1.50306,0.64889
1.28981,0.51611
1.41815,0.57452
1.24632,0.53205
1.28078,0.55847
1.32049,0.51523
1.34394,0.60114
1.39367,0.51714
1.23759,0.56481
1.2852,0.63218
1.36085,0.54675
1.36231,0.41924
1.38766,0.66547
1.40878,0.40618
1.41518,0.58897
1.54607,0.52127
1.20515,0.52378
1.50756,0.60436
1.49403,0.5135
1.30437,0.54198
1.35065,0.62685
1.38517,0.47019
1.32018,0.59846
1.40974,0.51497
1.47541,0.53607
1.37686,0.52341
1.35892,0.43927
1.2488,0.53664
1.27261,0.62195
1.31523,0.50241
1.33345,0.53849
1.20533,0.69881
1.34538,0.55237
1.3584,0.60494
1.43157,0.52725
1.36506,0.51003
1.42287,0.52491
1.35465,0.56594
1.5115,0.72701
1.19611,0.49047
1.3452,0.46925
1.39823,0.60922
1.36022,0.54678
1.34373,0.52204
1.45266,0.48834
1.41289,0.59411
1.28691,0.51138
1.36574,0.55077
1.2859,0.55873
1.28003,0.58006
1.49673,0.60339
1.29123,0.54145
1.4331,0.5505
1.41988,0.59759
1.22849,0.56634
1.48449,0.57501
1.23571,0.56306
1.15186,0.67876
1.39416,0.4902
1.20474,0.68646
1.51993,0.5124
1.28536,0.48219
1.51322,0.61013
1.24203,0.87768
1.61265,0.62014
1.42802,0.5633
1.21618,0.67536
1.35426,0.48764
1.44674,0.48271
1.34844,0.6199
1.44339,0.7194
1.38861,0.53449
1.2846,0.5675
1.47713,0.62097
1.20209,0.50861
1.64948,0.73359
1.21621,0.54554
1.29065,0.66597
1.40089,0.43846
1.31726,0.50931
1.37391,0.52042
1.3008,0.65476
1.349,0.54691
1.33974,0.58901
1.28011,0.6422
1.23858,0.5992
1.46263,0.50125
1.22916,0.65571
1.41787,0.51324
1.31517,0.51604
1.42975,0.59572
1.36191,0.49869
1.40631,0.53263
1.34297,0.65826
1.47006,0.66488
1.24182,0.4859
1.21287,0.50757
1.26802,0.49788
1.47965,0.52062
1.39592,0.57214
1.39239,0.47332
1.33793,0.54638
1.32164,0.56876
1.37458,0.55047
1.38081,0.48671
1.53473,0.55463
1.40147,0.66524
1.22036,0.56519
1.50545,0.67681
1.469,0.7212
1.33927,0.57356
1.52885,0.50237
1.45236,0.7225
1.47242,0.60538
1.30541,0.47594
1.37477,0.57975
1.35522,0.52146
1.40322,0.55849
1.45981,0.59866
1.45193,0.46493
1.39494,0.7643
1.34856,0.68723
1.39209,0.54214
1.33379,0.60129
1.28789,0.60691
1.37686,0.61114
1.22825,0.80382
1.29649,0.74775
1.55577,0.51095
1.13522,0.59541
1.60611,0.54354
1.34879,0.6637
1.39422,0.47023
1.34899,0.61315
1.5249,0.52468
1.29328,0.54113
1.4338,0.51515
1.42217,0.50318
1.52503,0.55845
1.35939,0.55227
1.30756,0.56499
1.4112,0.57287
1.48297,0.50408
1.37288,0.56497
1.02153,0.56805
1.64987,0.65645
1.25672,0.60626
1.32531,0.60279
1.40403,0.49616
1.49408,0.60724
1.27179,0.46038
1.49445,0.59848
1.65001,0.49299
1.35302,0.55389
1.23312,0.64472
1.2779,0.50791
1.45435,0.58825
1.28362,0.67207
1.48132,0.51101
1.29136,0.57856
1.4024,0.52899
1.39992,0.49971
1.41989,0.62512
1.27585,0.52096
1.42086,0.48404
1.28214,0.55415
1.20635,0.54299
1.48571,0.48805
1.20083,0.52761
1.44735,0.60251
1.35613,0.50792
1.25484,0.6423
1.50904,0.55803
1.27268,0.58778
1.52288,0.52655
1.17984,0.56388
1.50116,0.4505
1.43264,0.50861
1.54952,0.47424
1.18007,0.6243
1.47268,0.48885
1.30377,0.57984
1.46851,0.46601
1.38379,0.60836
1.22811,0.52103
1.48374,0.55401
1.50494,0.52154
1.18193,0.62575
1.30306,0.70229
1.36852,0.43271
1.34895,0.50169
1.4105,0.58341
1.51766,0.52399
1.36902,0.47133
1.39282,0.51366
1.21523,0.4523
1.57144,0.60138
1.59743,0.56871
1.39045,0.44731
1.44474,0.52664
1.36229,0.56016
1.25456,0.65521
1.45252,0.52346
1.3361,0.67044
1.41862,0.38818
1.32292,0.57985
1.45787,0.51029
1.40239,0.57515
1.42611,0.54758
1.3896,0.54864
1.26944,0.56348
1.38361,0.55032
1.36989,0.50461
1.43483,0.71035
1.34498,0.4177
1.27685,0.78384
1.17239,0.51865
1.43951,0.66743
1.4329,0.4462
1.3382,0.61018
1.18885,0.66864
1.68219,0.62713
1.61098,0.48946
1.334,0.72302
1.30148,0.51749
1.32982,0.57744
1.5176,0.44394
1.33876,0.61109
1.29331,0.5949
1.3521,0.56173
1.466,0.66397
1.34125,0.46941
1.39071,0.67208
1.39194,0.59796
1.36419,0.62414
1.45698,0.63794
1.59878,0.5431
1.26056,0.50945
1.5851,0.57204
1.39484,0.64513
1.24626,0.64516
1.27215,0.58159
1.43916,0.40074
1.07877,0.81351
1.29291,0.77408
1.39554,0.51117
1.35547,0.54657
1.34301,0.5625
1.31743,0.57668
1.25656,0.71015
1.32441,0.45784
1.66553,0.57434
1.59014,0.63284
1.26617,0.70531
1.41656,0.48487
1.40229,0.54093
1.35309,0.49191
1.45599,0.55947
1.43655,0.47168
1.35061,0.77117
1.47194,0.67692
1.36918,0.3953
1.32285,0.71095
1.26548,0.61607
1.41129,0.44112
1.39962,0.51486
1.31665,0.53534
1.42037,0.45162
1.39727,0.56084
1.30141,0.55143
1.40045,0.45564
1.35932,0.51107
1.43909,0.49934
1.4262,0.51911
1.32248,0.63949
1.44569,0.7166
1.23947,0.44727
1.45681,0.74572
1.27061,0.4425
1.53583,0.61236
1.31051,0.43172
1.27923,0.6943
1.20471,0.62676
1.54568,0.48633
1.243,0.52133
1.46332,0.69528
1.46897,0.56303
1.38986,0.63344
1.26955,0.53138
1.14491,0.75978
1.34223,0.5153
1.50231,0.58097
1.24089,0.73812
1.34273,0.47782
1.33601,0.48894
1.29222,0.57196
1.42768,0.52367
1.42001,0.51627
1.41113,0.48952
1.28298,0.59299
1.57289,0.55457
1.3914,0.53447
1.4997,0.48207
1.35962,0.58845
1.40786,0.57982
1.55064,0.5196
1.27792,0.53292
1.46039,0.51706
1.32401,0.63744
1.49294,0.51135
1.23588,0.61248
1.38921,0.65161
1.32372,0.50096
1.30219,0.46757
1.31488,0.44846
1.45662,0.64403
1.30275,0.55615
1.24739,0.58228
1.32639,0.63639
1.58688,0.5099
1.47782,0.44535
1.28244,0.62609
1.3911,0.49794
1.39545,0.43065
1.39145,0.61535
1.39145,0.44753
1.32394,0.74879
1.44172,0.54872
1.38329,0.60291
1.2373,0.54307
1.31353,0.65745
1.48783,0.47048
1.19678,0.54429
1.28858,0.61725
1.44637,0.45366
1.36288,0.5644
1.4294,0.49073
1.56076,0.48067
1.40977,0.49434
1.38898,0.5795
1.39317,0.52595
1.30864,0.58879
1.32944,0.54384
1.39997,0.5088
1.36229,0.56271
1.33193,0.49736
1.18551,0.56962
1.53907,0.49753
1.44238,0.5725
1.3417,0.50907
1.37449,0.58201
1.35899,0.54326
1.47582,0.53308
1.46736,0.46065
1.07356,0.81771
1.2331,0.72766
1.2732,0.42832
1.39113,0.66425
1.44201,0.6441
1.22997,0.45917
1.55805,0.56851
1.28479,0.50327
1.26499,0.4155
1.44053,0.59068
1.40428,0.62003
1.28555,0.51063
1.36915,0.68798
1.29685,0.65986
1.35113,0.42383
1.14616,0.68394
1.36234,0.51747
1.3927,0.58503
1.38102,0.49685
1.39276,0.49358
1.33201,0.63661
1.3785,0.50794
1.51872,0.4759
1.22537,0.55302
1.42996,0.50767
1.41343,0.63608
1.65352,0.68437
1.09534,0.53049
1.50307,0.80381
1.37821,0.58912
1.39669,0.5672
1.31691,0.55616
1.2832,0.5376
1.49809,0.57043
1.29191,0.63418
1.26918,0.58747
1.4509,0.48541
1.35694,0.48076
1.30216,0.6126
1.52078,0.66259
1.20994,0.51641
1.39179,0.63617
1.30899,0.41764
1.46616,0.65225
1.45685,0.42924
1.56109,0.62552
1.18404,0.58281
1.46742,0.56462
1.16739,0.68507
1.45329,0.52589
1.27888,0.68734
1.28157,0.52645
1.4317,0.4638
1.33259,0.57965
1.31725,0.61636
1.41357,0.64387
1.52797,0.51958
1.45657,0.74488
1.18274,0.57451
1.47693,0.45599
1.39971,0.4834
1.3256,0.54933
1.4218,0.51367
1.40289,0.57523
1.29587,0.55296
1.43304,0.5382
1.5042,0.55929
1.35107,0.73768
1.3012,0.62658
1.58798,0.52628
1.29058,0.4783
1.49801,0.64298
1.42982,0.58724
1.27623,0.53699
1.384,0.47584
1.37368,0.53518
1.24134,0.59446
1.39846,0.48115
1.32617,0.66892
1.18256,0.49901
1.39555,0.60929
1.28304,0.57734
