param1,param2
1.43865,0.49993
1.28604,0.69931
1.34535,0.45758
1.28033,0.70736
1.5171,0.62838
1.30696,0.40844
1.45609,0.74686
1.25689,0.40372
1.47101,0.80746
1.38587,0.64786
1.29063,0.54077
1.32303,0.54521
1.39192,0.47916
1.2806,0.51669
1.26628,0.60152
1.42827,0.48541
1.1902,0.6389
1.49278,0.51815
1.33279,0.57758
1.52382,0.55632
1.32874,0.49703
1.45954,0.52931
1.49096,0.60209
1.24867,0.52437
1.36569,0.48146
1.6285,0.64113
1.11943,0.58956
1.43247,0.54034
1.31422,0.57323
1.17025,0.53987
1.37681,0.59972
1.36146,0.48642
1.30677,0.55885
1.45056,0.54713
1.31685,0.55405
1.37895,0.45127
1.47149,0.50923
1.3491,0.49293
1.44358,0.50458
1.40276,0.50134
1.40483,0.43145
1.42687,0.57626
1.36272,0.41752
1.34959,0.59103
1.45845,0.5031
1.47015,0.46493
1.36427,0.49352
1.41538,0.7079
1.20762,0.5056
1.51451,0.58898
1.48996,0.55777
1.49115,0.53755
1.43234,0.47158
1.3709,0.51364
1.38016,0.58198
1.48069,0.70859
1.27036,0.51449
1.35377,0.51707
1.25484,0.66838
1.56688,0.56196
1.09512,0.61534
1.67875,0.6521
1.67983,0.72605
1.37496,0.47635
1.28062,0.60056
1.41308,0.5362
1.23204,0.64246
1.38725,0.51714
1.17026,0.67797
1.3211,0.5957
1.39055,0.504
1.35034,0.5898
1.22446,0.61484
1.374,0.67878
1.45145,0.52121
1.31954,0.5996
1.43859,0.49358
1.25057,0.69787
1.2263,0.70524
1.27667,0.65439
1.09854,0.64412
1.325,0.75032
1.29375,0.41334
1.32214,0.41308
1.29925,0.43345
1.34165,0.6838
1.32702,0.64619
1.46847,0.53902
1.22324,0.50073
1.57863,0.58874
1.34733,0.76332
1.4923,0.60424
1.47609,0.47023
1.30332,0.70744
1.44169,0.60333
1.2546,0.5391
1.52604,0.57788
1.35157,0.74762
1.22831,0.56945
1.34123,0.65704
1.26094,0.53762
1.41107,0.57742
1.48578,0.51761
1.31169,0.47909
1.63527,0.52623
1.28987,0.44596
1.35833,0.55904
1.57271,0.55315
1.18303,0.55663
1.47812,0.48792
1.36305,0.50908
1.31868,0.47061
1.24613,0.52101
1.44044,0.64106
1.29486,0.47559
1.28535,0.68624
1.34101,0.54926
1.38686,0.55623
1.35003,0.49747
1.49514,0.51686
1.21871,0.57911
1.37375,0.5361
1.26427,0.4277
1.17678,0.63393
1.45386,0.65058
1.3695,0.51524
1.39713,0.50036
1.47597,0.60712
1.23572,0.52921
1.47553,0.57809
1.36459,0.42619
1.23015,0.57673
1.41412,0.49918
1.28712,0.54464
1.32774,0.50725
1.2212,0.58884
1.45395,0.54894
1.31228,0.66456
1.31897,0.5265
1.35415,0.70432
1.26395,0.50938
1.54635,0.70024
1.55463,0.71034
1.32935,0.38326
1.37688,0.64324
1.39941,0.4812
1.33675,0.52653
1.3135,0.61647
1.32572,0.57868
1.38059,0.44413
1.39153,0.46539
1.31428,0.584
1.32301,0.57211
1.37434,0.53583
1.29203,0.60499
1.28929,0.65035
1.39336,0.47723
1.39046,0.65322
1.24902,0.54074
1.42373,0.56084
1.38325,0.59874
1.43297,0.53409
1.18082,0.63394
1.4489,0.45017
1.31493,0.46112
1.45448,0.53241
1.37902,0.548
1.38735,0.42269
1.40015,0.58574
1.32148,0.50172
1.45839,0.50662
1.32868,0.71491
1.35958,0.50949
1.54428,0.59462
1.1568,0.5471
1.56334,0.62477
1.14205,0.56866
1.19347,0.50221
1.45962,0.53469
1.37147,0.49652
1.33704,0.60157
1.3328,0.72917
1.34953,0.72757
1.52069,0.45022
1.43123,0.50103
1.27354,0.5698
1.41127,0.56897
1.46011,0.5813
1.5087,0.73108
1.43518,0.45176
1.51763,0.5661
1.33478,0.48633
1.33701,0.5067
1.30099,0.61445
1.46243,0.44904
1.20608,0.60938
1.27024,0.59159
1.49029,0.57577
1.30836,0.49074
1.55911,0.53577
1.43213,0.50147
1.30463,0.61652
1.24294,0.58016
1.5043,0.54136
1.30105,0.50818
1.48133,0.55385
1.38257,0.46505
1.37174,0.53285
1.25458,0.6925
1.30032,0.52677
1.28345,0.57374
1.39282,0.58982
1.4342,0.47455
1.31242,0.65039
1.49483,0.58992
1.28079,0.50845
1.24302,0.46186
1.4012,0.78908
1.34558,0.54968
1.37513,0.58659
1.50902,0.5326
1.22393,0.64746
1.31835,0.72045
1.41347,0.39473
1.3682,0.65775
1.26319,0.51668
1.33555,0.5069
1.23797,0.51729
1.16901,0.44426
1.28672,0.49178
1.34192,0.59681
1.37796,0.58059
1.40012,0.49265
1.2492,0.55961
1.2743,0.5367
1.26454,0.59728
1.35689,0.63635
1.26644,0.5886
1.31021,0.46391
1.47661,0.60157
1.49644,0.59138
1.32766,0.56959
1.41089,0.62108
1.29194,0.54987
1.44143,0.48992
1.32196,0.55358
1.29988,0.61236
1.34993,0.49056
1.50196,0.54452
1.11813,0.59668
1.43357,0.51598
1.20942,0.63699
1.38747,0.54998
1.43753,0.54688
1.27122,0.56236
1.39053,0.55935
1.50817,0.61778
1.35217,0.48939
1.41612,0.49592
1.28852,0.57873
1.25804,0.55282
1.3388,0.53479
1.60359,0.67659
1.49887,0.61259
1.21995,0.53764
1.43569,0.60817
1.29674,0.50379
1.3769,0.4587
1.36685,0.54194
1.50249,0.60387
1.35842,0.65363
1.49146,0.54374
1.48645,0.50615
1.26295,0.57778
1.4954,0.65823
1.39685,0.47028
1.20266,0.66507
1.47233,0.48449
1.37709,0.61348
1.2708,0.4492
1.58442,0.61897
1.20189,0.59795
1.50242,0.62502
1.2188,0.50606
1.25935,0.58732
1.51595,0.45896
1.42817,0.51188
1.18351,0.54842
1.28894,0.75626
1.27287,0.5866
1.28804,0.65884
1.35356,0.41635
1.34779,0.58564
1.43452,0.54998
1.29548,0.60278
1.39004,0.52498
1.45513,0.5616
1.45516,0.56197
1.26556,0.58597
1.29096,0.6086
1.34416,0.58093
1.48224,0.40601
1.44356,0.48321
1.28103,0.64633
1.24388,0.62665
1.2797,0.63776
1.22257,0.55435
1.51464,0.62196
1.33707,0.56861
1.39421,0.43704
1.44687,0.59986
1.3104,0.55612
1.43807,0.45521
1.51378,0.50514
1.27679,0.59691
1.5757,0.50146
1.30821,0.49703
1.18255,0.54696
1.37142,0.52449
1.40216,0.68608
1.55272,0.5513
1.30678,0.69827
1.46804,0.45874
1.25969,0.76704
1.59168,0.36821
1.28389,0.63151
1.19714,0.68451
1.36796,0.54843
1.39711,0.51943
1.42255,0.5397
1.3196,0.53861
1.49556,0.54763
1.44127,0.45603
1.25997,0.56877
1.39933,0.67566
1.11601,0.60092
1.21403,0.88522
1.58794,0.52465
1.16185,0.71035
1.31646,0.52461
1.32111,0.68298
1.35166,0.56039
1.47036,0.63701
1.35144,0.54557
